trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,6,-114.71445895050657,"{0: 6, 1: 3, 2: 3, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-114.98990195381992,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-123.49715676178485,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-240.13783915437776,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 5}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-129.34791555306774,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-136.0202290824028,"{0: 16, 1: 5, 2: 1, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-86.58492414688672,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-101.98746839300027,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-165.90192295589634,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-187.8223095957597,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-84.42631194618833,"{0: 7, 1: 8, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-75.62275606683492,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-146.3367120946969,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-27.09441464081854,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,13,-79.60956327651219,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-160.6060639080442,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-91.22895523023702,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,7,-174.0239005314671,"{0: 10, 1: 7, 2: 3, 3: 0, 4: 3}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-219.9539468096505,"{0: 10, 1: 4, 2: 7, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,10,-61.87933387125947,"{0: 8, 1: 2, 2: 4, 3: 1, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-69.05651507574782,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-128.73061391444887,"{0: 16, 1: 0, 2: 5, 3: 3, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-139.1231329248178,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-92.50716253289315,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,0,-91.35791226998045,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-108.81486946781061,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-118.12186368596448,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-61.8257701175815,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-200.61877982105818,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-4.9062164348371695,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
