trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.015, 'e': 0.9900498337491681}",25,0,-96.23388540202981,"{0: 13, 1: 2, 2: 10, 3: 0, 4: 0}",0
2,False,"{'a': 0.015, 'e': 0.9801986733067553}",25,0,-84.77057588959823,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.015, 'e': 0.9704455335485082}",25,0,-73.19145020390631,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
4,False,"{'a': 0.015, 'e': 0.9607894391523232}",20,0,-104.39935971160008,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.015, 'e': 0.951229424500714}",20,0,-203.79172804004764,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 4}",0
6,False,"{'a': 0.015, 'e': 0.9417645335842487}",25,0,-165.60501046219088,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.015, 'e': 0.9323938199059483}",20,0,-133.51587152009782,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.015, 'e': 0.9231163463866358}",30,0,-108.0606022900813,"{0: 15, 1: 7, 2: 7, 3: 1, 4: 0}",0
9,False,"{'a': 0.015, 'e': 0.9139311852712282}",20,0,-92.31677956863122,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
10,False,"{'a': 0.015, 'e': 0.9048374180359595}",25,0,-46.15728245910481,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.015, 'e': 0.8958341352965282}",35,0,-136.85952986773418,"{0: 24, 1: 6, 2: 2, 3: 0, 4: 3}",0
12,False,"{'a': 0.015, 'e': 0.8869204367171575}",20,0,-166.6032258005998,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.015, 'e': 0.8780954309205613}",20,0,-79.604998487883,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
14,False,"{'a': 0.015, 'e': 0.8693582353988059}",30,0,-147.75316206225392,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.015, 'e': 0.8607079764250578}",25,0,-130.13846289840316,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.015, 'e': 0.8521437889662113}",20,0,-170.80120219070162,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 4}",0
17,False,"{'a': 0.015, 'e': 0.8436648165963837}",30,15,-136.7726834553959,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 3}",1
18,False,"{'a': 0.015, 'e': 0.835270211411272}",20,2,-63.09595287088342,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 0}",1
19,False,"{'a': 0.015, 'e': 0.8269591339433623}",20,0,-66.16886294885002,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.015, 'e': 0.8187307530779818}",20,0,-102.79512536367795,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
21,False,"{'a': 0.015, 'e': 0.8105842459701871}",25,13,-53.17874677633024,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
22,False,"{'a': 0.015, 'e': 0.8025187979624785}",25,0,-157.75746108399164,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
23,False,"{'a': 0.015, 'e': 0.794533602503334}",25,0,-172.47258118776656,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",1
24,False,"{'a': 0.015, 'e': 0.7866278610665535}",20,12,5.1257144159194485,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.015, 'e': 0.7788007830714049}",30,0,-244.23084668729376,"{0: 16, 1: 2, 2: 7, 3: 1, 4: 4}",0
26,False,"{'a': 0.015, 'e': 0.7710515858035663}",30,0,-70.56655454744414,"{0: 21, 1: 0, 2: 8, 3: 1, 4: 0}",0
27,False,"{'a': 0.015, 'e': 0.7633794943368531}",30,0,-180.4228230354734,"{0: 20, 1: 3, 2: 3, 3: 0, 4: 4}",0
28,False,"{'a': 0.015, 'e': 0.7557837414557255}",30,7,-122.29588934474322,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 2}",1
29,False,"{'a': 0.015, 'e': 0.7482635675785653}",20,10,-58.52279572038661,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
30,False,"{'a': 0.015, 'e': 0.7408182206817179}",20,13,5.675792282985924,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.015, 'e': 0.7334469562242892}",25,0,-70.98249411797566,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
32,False,"{'a': 0.015, 'e': 0.7261490370736909}",20,0,-94.22942417383894,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
33,False,"{'a': 0.015, 'e': 0.7189237334319262}",25,0,-124.7705148589541,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0
