trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.015, 'e': 0.9900498337491681}",20,0,-109.6453702960735,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.015, 'e': 0.9801986733067553}",30,0,-225.44986570269822,"{0: 16, 1: 3, 2: 5, 3: 3, 4: 3}",0
3,False,"{'a': 0.015, 'e': 0.9704455335485082}",20,0,-169.080307319895,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
4,False,"{'a': 0.015, 'e': 0.9607894391523232}",25,0,-119.09958235509644,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.015, 'e': 0.951229424500714}",30,0,-93.27032919447387,"{0: 18, 1: 4, 2: 6, 3: 2, 4: 0}",0
6,False,"{'a': 0.015, 'e': 0.9417645335842487}",20,0,-199.03284852332456,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 3}",0
7,False,"{'a': 0.015, 'e': 0.9323938199059483}",25,0,-127.25485414633079,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.015, 'e': 0.9231163463866358}",25,0,-159.40382169135887,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
9,False,"{'a': 0.015, 'e': 0.9139311852712282}",25,0,-56.94649720420941,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.015, 'e': 0.9048374180359595}",20,0,-92.56049234320623,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.015, 'e': 0.8958341352965282}",25,0,-217.94997166355955,"{0: 12, 1: 3, 2: 4, 3: 3, 4: 3}",0
12,False,"{'a': 0.015, 'e': 0.8869204367171575}",25,0,-243.41751485695139,"{0: 10, 1: 3, 2: 6, 3: 3, 4: 3}",0
13,False,"{'a': 0.015, 'e': 0.8780954309205613}",35,0,-237.30024913644263,"{0: 18, 1: 5, 2: 7, 3: 2, 4: 3}",0
14,False,"{'a': 0.015, 'e': 0.8693582353988059}",20,0,-92.7402477143813,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
15,False,"{'a': 0.015, 'e': 0.8607079764250578}",20,0,-159.19195143665917,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.015, 'e': 0.8521437889662113}",25,0,-76.2228181224074,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
17,False,"{'a': 0.015, 'e': 0.8436648165963837}",20,0,-58.10163196893207,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.015, 'e': 0.835270211411272}",25,0,-137.12709320555405,"{0: 12, 1: 2, 2: 8, 3: 3, 4: 0}",0
19,False,"{'a': 0.015, 'e': 0.8269591339433623}",20,0,-142.90565034081786,"{0: 8, 1: 6, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.015, 'e': 0.8187307530779818}",25,0,-149.31711718324485,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-99.71766481128168,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-98.04150032539522,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-151.00290172435376,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-109.82430089368263,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-68.25913816409819,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-196.2442217927313,"{0: 9, 1: 3, 2: 3, 3: 2, 4: 3}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,3,-54.36440172212686,"{0: 15, 1: 5, 2: 1, 3: 0, 4: 1}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-167.71304957504245,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-67.46607150118729,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-99.7253001333577,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
11,True,"{'a': 0.0, 'e': 0.0}",25,10,-110.72282202652359,"{0: 6, 1: 2, 2: 5, 3: 1, 4: 1}",1
12,True,"{'a': 0.0, 'e': 0.0}",25,0,-110.02773787541568,"{0: 15, 1: 6, 2: 1, 3: 2, 4: 1}",0
13,True,"{'a': 0.0, 'e': 0.0}",20,0,-111.73234604658987,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
